"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenRelatief_2";"GeregistreerdeDiefstallenPer1000Inw_3";"TotaalOpgehelderdeDiefstallen_4";"OpgehelderdeDiefstallenRelatief_5";"RegistratiesVanVerdachten_6"
"6131";"T001540";"CRI1122";"GM0738";"2021JJ00";"";"";"";"";"";""
"6132";"T001540";"CRI1122";"GM0358";"2010JJ00";"     115";"      14";"     3.9";"       5";"     6.1";"      10"
"6133";"T001540";"CRI1122";"GM0358";"2011JJ00";"      85";"      11";"       .";"       5";"     5.7";"      10"
"6134";"T001540";"CRI1122";"GM0358";"2012JJ00";"      55";"       8";"       .";"       0";"     0.0";"       0"
"6135";"T001540";"CRI1122";"GM0358";"2013JJ00";"      85";"      11";"       .";"       0";"     0.0";"       0"
"6136";"T001540";"CRI1122";"GM0358";"2014JJ00";"      90";"      15";"       .";"       5";"     4.5";"       5"
"6137";"T001540";"CRI1122";"GM0358";"2015JJ00";"      65";"      13";"       .";"       0";"     0.0";"       0"
"6138";"T001540";"CRI1122";"GM0358";"2016JJ00";"      75";"      14";"       .";"       0";"     0.0";"       0"
"6139";"T001540";"CRI1122";"GM0358";"2017JJ00";"     115";"      19";"     3.7";"       5";"     3.5";"       5"
"6140";"T001540";"CRI1122";"GM0358";"2018JJ00";"      75";"      15";"       .";"       0";"     0.0";"       0"
"6141";"T001540";"CRI1122";"GM0358";"2019JJ00";"      70";"      16";"       .";"       0";"     0.0";"       0"
"6142";"T001540";"CRI1122";"GM0358";"2020JJ00";"      40";"      10";"       .";"       0";"     0.0";"       0"
"6143";"T001540";"CRI1122";"GM0358";"2021JJ00";"      50";"      18";"       .";"       0";"     0.0";"       0"
"6144";"T001540";"CRI1122";"GM0197";"2010JJ00";"     140";"      37";"     5.1";"       5";"     3.6";"      10"
"6145";"T001540";"CRI1122";"GM0197";"2011JJ00";"     125";"      34";"     4.6";"       5";"     3.9";"      10"
"6146";"T001540";"CRI1122";"GM0197";"2012JJ00";"     105";"      30";"     3.8";"       5";"     4.9";"       5"
"6147";"T001540";"CRI1122";"GM0197";"2013JJ00";"      85";"      24";"       .";"       5";"     4.8";"       5"
"6148";"T001540";"CRI1122";"GM0197";"2014JJ00";"     110";"      29";"     4.0";"       5";"     2.8";"       5"
"6149";"T001540";"CRI1122";"GM0197";"2015JJ00";"      65";"      22";"       .";"       5";"     4.8";"       5"
"6150";"T001540";"CRI1122";"GM0197";"2016JJ00";"      65";"      24";"       .";"       5";"     4.5";"       5"
"6151";"T001540";"CRI1122";"GM0197";"2017JJ00";"      35";"      19";"       .";"       5";"    10.8";"       5"
"6152";"T001540";"CRI1122";"GM0197";"2018JJ00";"      20";"      13";"       .";"       0";"     0.0";"       0"
"6153";"T001540";"CRI1122";"GM0197";"2019JJ00";"      65";"      29";"       .";"       0";"     0.0";"       0"
"6154";"T001540";"CRI1122";"GM0197";"2020JJ00";"      25";"      18";"       .";"       0";"     0.0";"       0"
